"","ZIPCODE","MONTH","YEAR","CUSTOMERCLASS","COMBINED","TOTALCUSTOMERS","TOTALKWH","AVERAGEKWH"
"1",93101,1,2020,"Elec- Commercial","Y",0,0,NA
"2",93101,2,2020,"Elec- Commercial","Y",0,0,NA
"3",93101,3,2020,"Elec- Commercial","Y",0,0,NA
"4",93105,1,2020,"Elec- Commercial","Y",0,0,NA
"5",93105,2,2020,"Elec- Commercial","Y",0,0,NA
"6",93105,3,2020,"Elec- Commercial","Y",0,0,NA
"7",93110,1,2020,"Elec- Commercial","Y",0,0,NA
"8",93110,2,2020,"Elec- Commercial","Y",0,0,NA
"9",93110,3,2020,"Elec- Commercial","Y",0,0,NA
"10",93117,1,2020,"Elec- Commercial","Y",0,0,NA
"11",93117,2,2020,"Elec- Commercial","Y",0,0,NA
"12",93117,3,2020,"Elec- Commercial","Y",0,0,NA
"13",93203,1,2020,"Elec- Commercial","N",354,2532521,7154
"14",93203,2,2020,"Elec- Commercial","N",355,2212977,6234
"15",93203,3,2020,"Elec- Commercial","Y",442,3941083,8916
"16",93204,1,2020,"Elec- Commercial","Y",0,0,NA
"17",93204,2,2020,"Elec- Commercial","Y",0,0,NA
"18",93204,3,2020,"Elec- Commercial","Y",0,0,NA
"19",93206,1,2020,"Elec- Commercial","Y",0,0,NA
"20",93206,2,2020,"Elec- Commercial","Y",0,0,NA
"21",93206,3,2020,"Elec- Commercial","Y",0,0,NA
"22",93210,1,2020,"Elec- Commercial","Y",0,0,NA
"23",93210,2,2020,"Elec- Commercial","Y",0,0,NA
"24",93210,3,2020,"Elec- Commercial","Y",0,0,NA
"25",93212,1,2020,"Elec- Commercial","Y",0,0,NA
"26",93212,2,2020,"Elec- Commercial","Y",0,0,NA
"27",93212,3,2020,"Elec- Commercial","Y",0,0,NA
"28",93219,1,2020,"Elec- Commercial","Y",0,0,NA
"29",93219,2,2020,"Elec- Commercial","Y",0,0,NA
"30",93219,3,2020,"Elec- Commercial","Y",0,0,NA
"31",93224,1,2020,"Elec- Commercial","Y",0,0,NA
"32",93224,2,2020,"Elec- Commercial","Y",0,0,NA
"33",93224,3,2020,"Elec- Commercial","Y",0,0,NA
"34",93225,1,2020,"Elec- Commercial","Y",0,0,NA
"35",93225,2,2020,"Elec- Commercial","Y",0,0,NA
"36",93225,3,2020,"Elec- Commercial","Y",0,0,NA
"37",93230,1,2020,"Elec- Commercial","Y",0,0,NA
"38",93230,2,2020,"Elec- Commercial","Y",0,0,NA
"39",93230,3,2020,"Elec- Commercial","Y",0,0,NA
"40",93234,1,2020,"Elec- Commercial","Y",0,0,NA
"41",93234,2,2020,"Elec- Commercial","Y",0,0,NA
"42",93234,3,2020,"Elec- Commercial","Y",0,0,NA
"43",93239,1,2020,"Elec- Commercial","Y",0,0,NA
"44",93239,2,2020,"Elec- Commercial","Y",0,0,NA
"45",93239,3,2020,"Elec- Commercial","Y",0,0,NA
"46",93241,1,2020,"Elec- Commercial","Y",0,0,NA
"47",93241,2,2020,"Elec- Commercial","Y",0,0,NA
"48",93241,3,2020,"Elec- Commercial","Y",0,0,NA
"49",93242,1,2020,"Elec- Commercial","Y",0,0,NA
"50",93242,2,2020,"Elec- Commercial","Y",0,0,NA
"51",93242,3,2020,"Elec- Commercial","Y",0,0,NA
"52",93243,1,2020,"Elec- Commercial","Y",88,2065695,23474
"53",93243,2,2020,"Elec- Commercial","Y",89,1814280,20385
"54",93243,3,2020,"Elec- Commercial","Y",0,0,NA
"55",93245,1,2020,"Elec- Commercial","Y",0,0,NA
"56",93245,2,2020,"Elec- Commercial","Y",0,0,NA
"57",93245,3,2020,"Elec- Commercial","Y",0,0,NA
"58",93249,1,2020,"Elec- Commercial","Y",0,0,NA
"59",93249,2,2020,"Elec- Commercial","Y",0,0,NA
"60",93249,3,2020,"Elec- Commercial","Y",0,0,NA
"61",93250,1,2020,"Elec- Commercial","Y",0,0,NA
"62",93250,2,2020,"Elec- Commercial","Y",0,0,NA
"63",93250,3,2020,"Elec- Commercial","Y",0,0,NA
"64",93251,1,2020,"Elec- Commercial","Y",0,0,NA
"65",93251,2,2020,"Elec- Commercial","Y",0,0,NA
"66",93251,3,2020,"Elec- Commercial","Y",0,0,NA
"67",93252,1,2020,"Elec- Commercial","Y",0,0,NA
"68",93252,2,2020,"Elec- Commercial","Y",0,0,NA
"69",93252,3,2020,"Elec- Commercial","Y",0,0,NA
"70",93254,1,2020,"Elec- Commercial","Y",0,0,NA
"71",93254,2,2020,"Elec- Commercial","Y",0,0,NA
"72",93254,3,2020,"Elec- Commercial","Y",0,0,NA
"73",93256,1,2020,"Elec- Commercial","Y",0,0,NA
"74",93256,2,2020,"Elec- Commercial","Y",0,0,NA
"75",93256,3,2020,"Elec- Commercial","Y",0,0,NA
"76",93262,1,2020,"Elec- Commercial","Y",0,0,NA
"77",93262,2,2020,"Elec- Commercial","Y",0,0,NA
"78",93262,3,2020,"Elec- Commercial","Y",0,0,NA
"79",93263,1,2020,"Elec- Commercial","Y",1682,12054030,7166
"80",93263,2,2020,"Elec- Commercial","Y",0,0,NA
"81",93263,3,2020,"Elec- Commercial","Y",1689,10219931,6051
"82",93266,1,2020,"Elec- Commercial","Y",0,0,NA
"83",93266,2,2020,"Elec- Commercial","Y",0,0,NA
"84",93266,3,2020,"Elec- Commercial","Y",0,0,NA
"85",93268,1,2020,"Elec- Commercial","Y",576,7363770,12784
"86",93268,2,2020,"Elec- Commercial","Y",576,6966026,12094
"87",93268,3,2020,"Elec- Commercial","Y",575,6716267,11680
"88",93272,1,2020,"Elec- Commercial","Y",0,0,NA
"89",93272,2,2020,"Elec- Commercial","Y",0,0,NA
"90",93272,3,2020,"Elec- Commercial","Y",0,0,NA
"91",93274,1,2020,"Elec- Commercial","Y",0,0,NA
"92",93274,2,2020,"Elec- Commercial","Y",0,0,NA
"93",93274,3,2020,"Elec- Commercial","Y",0,0,NA
"94",93276,1,2020,"Elec- Commercial","Y",0,0,NA
"95",93276,2,2020,"Elec- Commercial","Y",0,0,NA
"96",93276,3,2020,"Elec- Commercial","Y",0,0,NA
"97",93277,1,2020,"Elec- Commercial","Y",0,0,NA
"98",93277,2,2020,"Elec- Commercial","Y",0,0,NA
"99",93277,3,2020,"Elec- Commercial","Y",0,0,NA
"100",93280,1,2020,"Elec- Commercial","Y",0,0,NA
"101",93280,2,2020,"Elec- Commercial","Y",0,0,NA
"102",93280,3,2020,"Elec- Commercial","Y",0,0,NA
"103",93286,1,2020,"Elec- Commercial","Y",0,0,NA
"104",93286,2,2020,"Elec- Commercial","Y",0,0,NA
"105",93286,3,2020,"Elec- Commercial","Y",0,0,NA
"106",93291,1,2020,"Elec- Commercial","Y",0,0,NA
"107",93291,2,2020,"Elec- Commercial","Y",0,0,NA
"108",93291,3,2020,"Elec- Commercial","Y",0,0,NA
"109",93292,1,2020,"Elec- Commercial","Y",0,0,NA
"110",93292,2,2020,"Elec- Commercial","Y",0,0,NA
"111",93292,3,2020,"Elec- Commercial","Y",0,0,NA
"112",93301,1,2020,"Elec- Commercial","N",1678,10433988,6218
